No.     Time           Source                Destination           Protocol Length Info
   1903 12.290024000   203.112.217.163       192.168.0.148         TCP      60     http > 55707 [ACK] Seq=1 Ack=612 Win=6721 Len=0
   1904 12.292264000   203.112.217.163       192.168.0.148         HTTP     352    HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)
   1905 12.292271000   203.112.217.163       192.168.0.148         TCP      60     http > 55707 [FIN, ACK] Seq=299 Ack=612 Win=6721 Len=0
   1906 12.292504000   192.168.0.148         203.112.217.163       TCP      54     55707 > http [ACK] Seq=612 Ack=299 Win=65535 Len=0
   1907 12.292505000   192.168.0.148         203.112.217.163       TCP      54     55707 > http [ACK] Seq=612 Ack=300 Win=65535 Len=0
   1908 12.293764000   192.168.0.148         203.112.217.163       TCP      54     55707 > http [FIN, ACK] Seq=612 Ack=300 Win=65535 Len=0
   1909 12.301330000   192.168.0.148         203.112.217.163       TCP      78     55713 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351111132 TSecr=0 SACK_PERM=1
   1910 12.428698000   203.112.217.163       192.168.0.148         TCP      60     http > 55709 [ACK] Seq=1 Ack=610 Win=6699 Len=0
   1911 12.429730000   203.112.217.163       192.168.0.148         HTTP     352    HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)
   1912 12.429737000   203.112.217.163       192.168.0.148         TCP      60     http > 55709 [FIN, ACK] Seq=299 Ack=610 Win=6699 Len=0
   1913 12.429970000   192.168.0.148         203.112.217.163       TCP      54     55709 > http [ACK] Seq=610 Ack=299 Win=65535 Len=0
   1914 12.429972000   192.168.0.148         203.112.217.163       TCP      54     55709 > http [ACK] Seq=610 Ack=300 Win=65535 Len=0
   1915 12.430968000   192.168.0.148         203.112.217.163       TCP      54     55709 > http [FIN, ACK] Seq=610 Ack=300 Win=65535 Len=0
   1916 12.438019000   203.112.217.163       192.168.0.148         TCP      60     http > 55708 [ACK] Seq=1 Ack=606 Win=6655 Len=0
   1917 12.439219000   203.112.217.163       192.168.0.148         HTTP     559    HTTP/1.1 404 Not Found  (text/html)
   1918 12.439317000   203.112.217.163       192.168.0.148         TCP      60     http > 55708 [FIN, ACK] Seq=506 Ack=606 Win=6655 Len=0
   1919 12.439337000   192.168.0.148         203.112.217.163       TCP      54     55708 > http [ACK] Seq=606 Ack=506 Win=65535 Len=0
   1920 12.439337000   192.168.0.148         203.112.217.163       TCP      78     55714 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351111268 TSecr=0 SACK_PERM=1
   1921 12.439375000   192.168.0.148         203.112.217.163       TCP      54     55708 > http [ACK] Seq=606 Ack=507 Win=65535 Len=0
   1922 12.439955000   192.168.0.148         203.112.217.163       TCP      54     55708 > http [FIN, ACK] Seq=606 Ack=507 Win=65535 Len=0
   1923 12.441973000   192.168.0.148         203.112.217.163       TCP      78     55715 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351111270 TSecr=0 SACK_PERM=1
   1926 12.539843000   203.112.217.163       192.168.0.148         TCP      60     http > 55710 [ACK] Seq=1 Ack=611 Win=6710 Len=0
   1927 12.540856000   203.112.217.163       192.168.0.148         TCP      308    [TCP segment of a reassembled PDU]
   1928 12.540932000   192.168.0.148         203.112.217.163       TCP      54     55710 > http [ACK] Seq=611 Ack=255 Win=65535 Len=0
   1929 12.541521000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1930 12.546961000   203.112.217.163       192.168.0.148         TCP      60     http > 55703 [ACK] Seq=940 Ack=613 Win=6721 Len=0
   1931 12.563567000   203.112.217.163       192.168.0.148         TCP      60     http > 55711 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1932 12.563790000   192.168.0.148         203.112.217.163       TCP      54     55711 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1933 12.564851000   192.168.0.148         203.112.217.163       HTTP     648    GET /images/stories/law%2011.jpg HTTP/1.1 
   1935 12.654787000   192.168.0.148         203.112.217.163       TCP      54     55710 > http [ACK] Seq=611 Ack=1715 Win=65535 Len=0
   1936 12.742207000   203.112.217.163       192.168.0.148         TCP      60     http > 55706 [ACK] Seq=393 Ack=612 Win=6710 Len=0
   1939 12.769686000   203.112.217.163       192.168.0.148         TCP      60     http > 55712 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1940 12.769750000   192.168.0.148         203.112.217.163       TCP      54     55712 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1941 12.770791000   192.168.0.148         203.112.217.163       HTTP     642    GET /images/symbol_red.gif HTTP/1.1 
   1942 12.773029000   203.112.217.163       192.168.0.148         TCP      60     http > 55707 [ACK] Seq=300 Ack=613 Win=6721 Len=0
   1943 12.774894000   203.112.217.163       192.168.0.148         TCP      60     http > 55713 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1944 12.775056000   192.168.0.148         203.112.217.163       TCP      54     55713 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1945 12.776049000   192.168.0.148         203.112.217.163       HTTP     654    GET /images/stories/agriculture111.jpg HTTP/1.1 
   1949 12.920166000   203.112.217.163       192.168.0.148         TCP      60     http > 55709 [ACK] Seq=300 Ack=611 Win=6699 Len=0
   1950 12.928572000   203.112.217.163       192.168.0.148         TCP      60     http > 55715 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1951 12.928827000   192.168.0.148         203.112.217.163       TCP      54     55715 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1952 12.930744000   192.168.0.148         203.112.217.163       HTTP     653    GET /images/stories/recruitment_2.jpg HTTP/1.1 
   1953 12.937652000   203.112.217.163       192.168.0.148         TCP      60     http > 55714 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1954 12.937791000   192.168.0.148         203.112.217.163       TCP      54     55714 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1955 12.939434000   192.168.0.148         203.112.217.163       HTTP     651    GET /images/stories/education_1.jpg HTTP/1.1 
   1956 12.941990000   203.112.217.163       192.168.0.148         TCP      60     http > 55708 [ACK] Seq=507 Ack=607 Win=6655 Len=0
   1959 13.020884000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1960 13.021147000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1961 13.021238000   192.168.0.148         203.112.217.163       TCP      54     55710 > http [ACK] Seq=611 Ack=4635 Win=65535 Len=0
   1962 13.058255000   203.112.217.163       192.168.0.148         TCP      60     http > 55711 [ACK] Seq=1 Ack=595 Win=6534 Len=0
   1963 13.059386000   203.112.217.163       192.168.0.148         TCP      307    [TCP segment of a reassembled PDU]
   1964 13.059590000   192.168.0.148         203.112.217.163       TCP      54     55711 > http [ACK] Seq=595 Ack=254 Win=65535 Len=0
   1965 13.059978000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1966 13.060242000   203.112.217.163       192.168.0.148         HTTP     1274   HTTP/1.1 200 OK  (JPEG JFIF image)
   1967 13.060327000   192.168.0.148         203.112.217.163       TCP      54     55711 > http [ACK] Seq=595 Ack=2935 Win=65535 Len=0
   1968 13.061060000   192.168.0.148         203.112.217.163       TCP      54     55711 > http [FIN, ACK] Seq=595 Ack=2935 Win=65535 Len=0
   1969 13.074376000   192.168.0.148         203.112.217.163       TCP      78     55716 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351111888 TSecr=0 SACK_PERM=1
   1972 13.134739000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1973 13.135122000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1974 13.135250000   203.112.217.163       192.168.0.148         HTTP     959    HTTP/1.1 200 OK  (JPEG JFIF image)
   1975 13.135324000   192.168.0.148         203.112.217.163       TCP      54     55710 > http [ACK] Seq=611 Ack=7555 Win=65535 Len=0
   1976 13.135386000   192.168.0.148         203.112.217.163       TCP      54     55710 > http [ACK] Seq=611 Ack=8461 Win=65535 Len=0
   1977 13.136366000   192.168.0.148         203.112.217.163       TCP      54     55710 > http [FIN, ACK] Seq=611 Ack=8461 Win=65535 Len=0
   1978 13.144118000   192.168.0.148         203.112.217.163       TCP      78     55717 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351111956 TSecr=0 SACK_PERM=1
   1979 13.247407000   203.112.217.163       192.168.0.148         TCP      60     http > 55713 [ACK] Seq=1 Ack=601 Win=6600 Len=0
   1980 13.248344000   203.112.217.163       192.168.0.148         TCP      309    [TCP segment of a reassembled PDU]
   1981 13.248560000   192.168.0.148         203.112.217.163       TCP      54     55713 > http [ACK] Seq=601 Ack=256 Win=65535 Len=0
   1982 13.249021000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1983 13.268052000   203.112.217.163       192.168.0.148         TCP      60     http > 55712 [ACK] Seq=1 Ack=589 Win=6468 Len=0
   1984 13.268755000   203.112.217.163       192.168.0.148         HTTP     382    HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)
   1985 13.268986000   192.168.0.148         203.112.217.163       TCP      54     55712 > http [ACK] Seq=589 Ack=329 Win=65535 Len=0
   1986 13.269314000   203.112.217.163       192.168.0.148         TCP      60     http > 55712 [FIN, ACK] Seq=329 Ack=589 Win=6468 Len=0
   1987 13.269539000   192.168.0.148         203.112.217.163       TCP      54     55712 > http [ACK] Seq=589 Ack=330 Win=65535 Len=0
   1988 13.270203000   192.168.0.148         203.112.217.163       TCP      54     55712 > http [FIN, ACK] Seq=589 Ack=330 Win=65535 Len=0
   1989 13.283417000   192.168.0.148         203.112.217.163       TCP      78     55718 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351112092 TSecr=0 SACK_PERM=1
   1990 13.362361000   192.168.0.148         203.112.217.163       TCP      54     55713 > http [ACK] Seq=601 Ack=1716 Win=65535 Len=0
   1991 13.415734000   203.112.217.163       192.168.0.148         TCP      60     http > 55715 [ACK] Seq=1 Ack=600 Win=6589 Len=0
   1992 13.416189000   203.112.217.163       192.168.0.148         TCP      307    [TCP segment of a reassembled PDU]
   1993 13.416405000   192.168.0.148         203.112.217.163       TCP      54     55715 > http [ACK] Seq=600 Ack=254 Win=65535 Len=0
   1994 13.416911000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1995 13.417126000   203.112.217.163       192.168.0.148         HTTP     1138   HTTP/1.1 200 OK  (JPEG JFIF image)
   1996 13.417338000   192.168.0.148         203.112.217.163       TCP      54     55715 > http [ACK] Seq=600 Ack=2799 Win=65535 Len=0
   1997 13.418196000   192.168.0.148         203.112.217.163       TCP      54     55715 > http [FIN, ACK] Seq=600 Ack=2799 Win=65535 Len=0
   1998 13.425684000   192.168.0.148         203.112.217.163       TCP      78     55719 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351112232 TSecr=0 SACK_PERM=1
   1999 13.436424000   203.112.217.163       192.168.0.148         TCP      60     http > 55714 [ACK] Seq=1 Ack=598 Win=6567 Len=0
   2000 13.436486000   203.112.217.163       192.168.0.148         TCP      308    [TCP segment of a reassembled PDU]
   2001 13.436696000   192.168.0.148         203.112.217.163       TCP      54     55714 > http [ACK] Seq=598 Ack=255 Win=65535 Len=0
   2002 13.437412000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2003 13.554441000   203.112.217.163       192.168.0.148         TCP      60     http > 55711 [ACK] Seq=2935 Ack=596 Win=6534 Len=0
   2004 13.563259000   192.168.0.148         203.112.217.163       TCP      54     55714 > http [ACK] Seq=598 Ack=1715 Win=65535 Len=0
   2005 13.570754000   203.112.217.163       192.168.0.148         TCP      60     http > 55716 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   2006 13.571013000   192.168.0.148         203.112.217.163       TCP      54     55716 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   2007 13.572707000   192.168.0.148         203.112.217.163       HTTP     651    GET /images/stories/higheredu_2.jpg HTTP/1.1 
   2008 13.616171000   203.112.217.163       192.168.0.148         TCP      60     http > 55710 [ACK] Seq=8461 Ack=612 Win=6710 Len=0
   2009 13.631055000   203.112.217.163       192.168.0.148         TCP      60     http > 55717 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   2010 13.631141000   192.168.0.148         203.112.217.163       TCP      54     55717 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   2011 13.632245000   192.168.0.148         203.112.217.163       HTTP     648    GET /images/stories/market_1.jpg HTTP/1.1 
   2012 13.720188000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2013 13.720531000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2014 13.720631000   192.168.0.148         203.112.217.163       TCP      54     55713 > http [ACK] Seq=601 Ack=4636 Win=65535 Len=0
   2015 13.767927000   203.112.217.163       192.168.0.148         TCP      60     http > 55712 [ACK] Seq=330 Ack=590 Win=6468 Len=0
   2016 13.777107000   203.112.217.163       192.168.0.148         TCP      60     http > 55718 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   2017 13.777196000   192.168.0.148         203.112.217.163       TCP      54     55718 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   2018 13.778666000   192.168.0.148         203.112.217.163       HTTP     650    GET /images/stories/utility321.jpg HTTP/1.1 
   2019 13.833824000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2020 13.834094000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2021 13.834171000   192.168.0.148         203.112.217.163       TCP      54     55713 > http [ACK] Seq=601 Ack=7556 Win=65535 Len=0
   2022 13.902968000   203.112.217.163       192.168.0.148         TCP      60     http > 55715 [ACK] Seq=2799 Ack=601 Win=6589 Len=0
   2023 13.912834000   203.112.217.163       192.168.0.148         TCP      60     http > 55719 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   2024 13.913045000   192.168.0.148         203.112.217.163       TCP      54     55719 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   2025 13.914804000   192.168.0.148         203.112.217.163       HTTP     649    GET /images/stories/weather_3.jpg HTTP/1.1 
   2026 13.932342000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2027 13.932448000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2028 13.932523000   203.112.217.163       192.168.0.148         HTTP     93     HTTP/1.1 200 OK  (JPEG JFIF image)
   2029 13.932575000   192.168.0.148         203.112.217.163       TCP      54     55714 > http [ACK] Seq=598 Ack=4635 Win=65535 Len=0
   2030 13.932630000   192.168.0.148         203.112.217.163       TCP      54     55714 > http [ACK] Seq=598 Ack=4675 Win=65535 Len=0
   2031 13.933544000   192.168.0.148         203.112.217.163       TCP      54     55714 > http [FIN, ACK] Seq=598 Ack=4675 Win=65535 Len=0
   2032 13.940877000   192.168.0.148         203.112.217.163       TCP      78     55720 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351112735 TSecr=0 SACK_PERM=1
   2033 14.065267000   203.112.217.163       192.168.0.148         TCP      60     http > 55716 [ACK] Seq=1 Ack=598 Win=6567 Len=0
   2034 14.066239000   203.112.217.163       192.168.0.148         TCP      308    [TCP segment of a reassembled PDU]
   2035 14.066479000   192.168.0.148         203.112.217.163       TCP      54     55716 > http [ACK] Seq=598 Ack=255 Win=65535 Len=0
   2036 14.066898000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2037 14.115210000   203.112.217.163       192.168.0.148         TCP      60     http > 55717 [ACK] Seq=1 Ack=595 Win=6534 Len=0
   2038 14.115976000   203.112.217.163       192.168.0.148         TCP      308    [TCP segment of a reassembled PDU]
   2039 14.116030000   192.168.0.148         203.112.217.163       TCP      54     55717 > http [ACK] Seq=595 Ack=255 Win=65535 Len=0
   2040 14.116754000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2041 14.193696000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2042 14.193928000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2043 14.194007000   192.168.0.148         203.112.217.163       TCP      54     55713 > http [ACK] Seq=601 Ack=10476 Win=65535 Len=0
   2044 14.194229000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2045 14.194298000   192.168.0.148         203.112.217.163       TCP      54     55713 > http [ACK] Seq=601 Ack=11936 Win=65535 Len=0
   2046 14.268100000   192.168.0.148         203.112.217.163       TCP      54     55717 > http [ACK] Seq=595 Ack=1715 Win=65535 Len=0
   2047 14.268102000   192.168.0.148         203.112.217.163       TCP      54     55716 > http [ACK] Seq=598 Ack=1715 Win=65535 Len=0
   2048 14.269142000   203.112.217.163       192.168.0.148         TCP      60     http > 55718 [ACK] Seq=1 Ack=597 Win=6556 Len=0
   2049 14.270122000   203.112.217.163       192.168.0.148         TCP      309    [TCP segment of a reassembled PDU]
   2050 14.270320000   192.168.0.148         203.112.217.163       TCP      54     55718 > http [ACK] Seq=597 Ack=256 Win=65535 Len=0
   2051 14.270938000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2052 14.305771000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2053 14.305843000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2054 14.305940000   192.168.0.148         203.112.217.163       TCP      54     55713 > http [ACK] Seq=601 Ack=14856 Win=65535 Len=0
   2055 14.306168000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2056 14.399668000   203.112.217.163       192.168.0.148         TCP      60     http > 55719 [ACK] Seq=1 Ack=596 Win=6545 Len=0
   2057 14.401098000   203.112.217.163       192.168.0.148         TCP      307    [TCP segment of a reassembled PDU]
   2058 14.401289000   192.168.0.148         203.112.217.163       TCP      54     55719 > http [ACK] Seq=596 Ack=254 Win=65535 Len=0
   2059 14.401543000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2060 14.428954000   203.112.217.163       192.168.0.148         TCP      60     http > 55714 [ACK] Seq=4675 Ack=599 Win=6567 Len=0
   2061 14.435125000   203.112.217.163       192.168.0.148         TCP      60     http > 55720 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   2062 14.435215000   192.168.0.148         203.112.217.163       TCP      54     55720 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   2063 14.436698000   192.168.0.148         203.112.217.163       HTTP     661    GET /templates/e_gov_tem_green/images/bgl.jpg HTTP/1.1 
   2064 14.468882000   192.168.0.148         203.112.217.163       TCP      54     55718 > http [ACK] Seq=597 Ack=1716 Win=65535 Len=0
   2065 14.468883000   192.168.0.148         203.112.217.163       TCP      54     55713 > http [ACK] Seq=601 Ack=16316 Win=65535 Len=0
   2066 14.560160000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2067 14.560259000   203.112.217.163       192.168.0.148         HTTP     1431   HTTP/1.1 200 OK  (JPEG JFIF image)
   2068 14.560407000   192.168.0.148         203.112.217.163       TCP      54     55716 > http [ACK] Seq=598 Ack=4553 Win=65535 Len=0
   2069 14.561404000   192.168.0.148         203.112.217.163       TCP      54     55716 > http [FIN, ACK] Seq=598 Ack=4553 Win=65535 Len=0
   2070 14.569538000   192.168.0.148         203.112.217.163       TCP      54     55719 > http [ACK] Seq=596 Ack=1714 Win=65535 Len=0
   2071 14.570707000   192.168.0.148         203.112.217.163       TCP      78     55721 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351113354 TSecr=0 SACK_PERM=1
   2072 14.600074000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2073 14.600340000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2074 14.600393000   192.168.0.148         203.112.217.163       TCP      54     55717 > http [ACK] Seq=595 Ack=4635 Win=65535 Len=0
   2075 14.600616000   203.112.217.163       192.168.0.148         HTTP     1300   HTTP/1.1 200 OK  (JPEG JFIF image)
   2076 14.600668000   192.168.0.148         203.112.217.163       TCP      54     55717 > http [ACK] Seq=595 Ack=5882 Win=65535 Len=0
   2077 14.601233000   192.168.0.148         203.112.217.163       TCP      54     55717 > http [FIN, ACK] Seq=595 Ack=5882 Win=65535 Len=0
   2078 14.609362000   192.168.0.148         203.112.217.163       TCP      78     55722 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351113392 TSecr=0 SACK_PERM=1
   2079 14.665841000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2080 14.665926000   192.168.0.148         203.112.217.163       TCP      54     55713 > http [ACK] Seq=601 Ack=17776 Win=65535 Len=0
   2081 14.666117000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2082 14.666422000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2083 14.666463000   192.168.0.148         203.112.217.163       TCP      54     55713 > http [ACK] Seq=601 Ack=20696 Win=65535 Len=0
   2084 14.666735000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2085 14.666904000   203.112.217.163       192.168.0.148         HTTP     629    HTTP/1.1 200 OK  (JPEG JFIF image)
   2086 14.666961000   192.168.0.148         203.112.217.163       TCP      54     55713 > http [ACK] Seq=601 Ack=22732 Win=65535 Len=0
   2087 14.667387000   192.168.0.148         203.112.217.163       TCP      54     55713 > http [FIN, ACK] Seq=601 Ack=22732 Win=65535 Len=0
   2088 14.686307000   192.168.0.148         203.112.217.163       TCP      78     55723 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351113468 TSecr=0 SACK_PERM=1
   2091 14.761649000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2092 14.761925000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2093 14.762030000   192.168.0.148         203.112.217.163       TCP      54     55718 > http [ACK] Seq=597 Ack=4636 Win=65535 Len=0
   2094 14.886234000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2095 14.886389000   203.112.217.163       192.168.0.148         HTTP     731    HTTP/1.1 200 OK  (JPEG JFIF image)
   2096 14.886495000   192.168.0.148         203.112.217.163       TCP      54     55719 > http [ACK] Seq=596 Ack=3852 Win=65535 Len=0
   2097 14.887520000   192.168.0.148         203.112.217.163       TCP      54     55719 > http [FIN, ACK] Seq=596 Ack=3852 Win=65535 Len=0
   2098 14.894660000   192.168.0.148         203.112.217.163       TCP      78     55724 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351113674 TSecr=0 SACK_PERM=1
   2099 14.926584000   203.112.217.163       192.168.0.148         TCP      60     http > 55720 [ACK] Seq=1 Ack=608 Win=6677 Len=0
   2100 14.927630000   203.112.217.163       192.168.0.148         TCP      308    [TCP segment of a reassembled PDU]
   2101 14.927738000   192.168.0.148         203.112.217.163       TCP      54     55720 > http [ACK] Seq=608 Ack=255 Win=65535 Len=0
   2102 14.928419000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2103 14.960704000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2104 14.961022000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2105 14.961108000   192.168.0.148         203.112.217.163       TCP      54     55718 > http [ACK] Seq=597 Ack=7556 Win=65535 Len=0
   2106 15.053426000   203.112.217.163       192.168.0.148         TCP      60     http > 55716 [ACK] Seq=4553 Ack=599 Win=6567 Len=0
   2107 15.055412000   203.112.217.163       192.168.0.148         TCP      60     http > 55721 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   2108 15.055479000   192.168.0.148         203.112.217.163       TCP      54     55721 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   2109 15.056579000   192.168.0.148         203.112.217.163       HTTP     661    GET /templates/e_gov_tem_green/images/bgm.jpg HTTP/1.1 
   2110 15.071520000   192.168.0.148         203.112.217.163       TCP      54     55720 > http [ACK] Seq=608 Ack=1715 Win=65535 Len=0
   2111 15.087603000   203.112.217.163       192.168.0.148         TCP      60     http > 55717 [ACK] Seq=5882 Ack=596 Win=6534 Len=0
   2112 15.095889000   203.112.217.163       192.168.0.148         TCP      60     http > 55722 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   2113 15.095960000   192.168.0.148         203.112.217.163       TCP      54     55722 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   2114 15.097041000   192.168.0.148         203.112.217.163       HTTP     661    GET /templates/e_gov_tem_green/images/bgr.jpg HTTP/1.1 
   2115 15.138230000   203.112.217.163       192.168.0.148         TCP      60     http > 55713 [ACK] Seq=22732 Ack=602 Win=6600 Len=0
   2116 15.163709000   203.112.217.163       192.168.0.148         TCP      60     http > 55723 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   2117 15.163785000   192.168.0.148         203.112.217.163       TCP      54     55723 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   2118 15.164883000   192.168.0.148         203.112.217.163       HTTP     652    GET /images/stories/b_bangladesh.jpg HTTP/1.1 
   2119 15.253239000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2120 15.253491000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2121 15.253545000   192.168.0.148         203.112.217.163       TCP      54     55718 > http [ACK] Seq=597 Ack=10476 Win=65535 Len=0
   2122 15.253859000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2123 15.253886000   192.168.0.148         203.112.217.163       TCP      54     55718 > http [ACK] Seq=597 Ack=11936 Win=65535 Len=0
   2124 15.372105000   203.112.217.163       192.168.0.148         TCP      60     http > 55719 [ACK] Seq=3852 Ack=597 Win=6545 Len=0
   2125 15.388151000   203.112.217.163       192.168.0.148         TCP      60     http > 55724 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   2126 15.388226000   192.168.0.148         203.112.217.163       TCP      54     55724 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   2127 15.389404000   192.168.0.148         203.112.217.163       HTTP     661    GET /templates/e_gov_tem_green/images/bll.gif HTTP/1.1 
   2128 15.417685000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2129 15.417917000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2130 15.417976000   192.168.0.148         203.112.217.163       TCP      54     55720 > http [ACK] Seq=608 Ack=4635 Win=65535 Len=0
   2131 15.452486000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2132 15.452716000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2133 15.452767000   192.168.0.148         203.112.217.163       TCP      54     55718 > http [ACK] Seq=597 Ack=14856 Win=65535 Len=0
   2134 15.452982000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   2135 15.453157000   203.112.217.163       192.168.0.148         HTTP     669    HTTP/1.1 200 OK  (JPEG JFIF image)
